id,name,secondary_name,surname,pesel,date_of_birth,place_of_birth,family_name,mothers_maiden_name,fathers_name,mothers_name,gender,nationality,contact_number,fax_number,user_id
1,Adam,Mariusz,Sarnacki,70030311086,1970-03-03,Lublin,Sarnacki,Kumin,Andrzej,Dorota,MAN,Polska,123123123,123123123,2
2,Janina,,Nadrzeczka,70030311086,1970-03-03,Lublin,Kopeć,Kopeć,Zbyszek,Lucyna,WOMAN,Polska,123123123,123123123,3
3,Joanna,,Zawadzka,70030311086,1970-03-03,Lublin,Zawadzka,Grzegrzółka,Mirosław,Elżbieta,WOMAN,Polska,123123123,123123123,5
4,Maria,Anna,Pliszka,70030311086,1970-03-03,Lublin,Pliszka,Pliszka,Anna,Mariusz,WOMAN,Polska,123123123,123123123,6
5,Grzegorz,,Nowak,70030311086,1970-03-03,Lublin,Nowak,Nowak,Andrzej,Dorota,MAN,Polska,123123123,123123123,7
6,Artur,,Kolanko,70030311086,1970-03-03,Lublin,Kolanka,Kolanko,Andrzej,Dorota,MAN,Polska,123123123,123123123,8
7,Janusz,,Nosacz,70030311086,1970-03-03,Jędrychowice,Nosacz,Nosacz,Andrzej,Dorota,MAN,Polska,123123123,123123123,4
8,Brajan,,Szczęch,70030311086,2000-03-03,Lublin,Nowak,Stempel,Grzegorz,Lucyna,MAN,Polska,,,null
9,Marysia,,Malinecka,70030311084,2000-03-03,Lublin,Kolanka,Breska,Artur,Teresa,WOMAN,Polska,,,null
10,Jarek,,Czarniec,70030311086,2000-03-03,Jędrychowice,Nosacz,Dorota,Janusz,Janina,MAN,Polska,,,null
12,Jagoda,,Wilk,70030311086,2070-03-03,Lublin,Kowalska,Gęba,Janusz,Danuta,WOMAN,Polska,,,9
13,Joanna,,Zielińska,70030311086,2070-03-03,Krasnystaw,Koniecpolska,Koniecpolska,Janusz,Janina,WOMAN,Polska,,,10
14,Magdalena,,Miłoszewska,70030311086,2070-03-03,Parzęcin,Ukłon,Ukłon,Andrzej,Janina,WOMAN,Polska,,,11
15,Amelia,,Koper,70030311086,2070-03-03,Lublin,Kowalska,Gęba,Janusz,Danuta,WOMAN,Polska,,,12
16,Ola,,Ziółko,70030311086,2070-03-03,Lublin,Koniecpolska,Koniecpolska,Janusz,Janina,WOMAN,Polska,,,13
17,Magdalena,,Ukwiat,70030311086,2070-03-03,Lublin,Ukłon,Ukłon,Andrzej,Janina,WOMAN,Polska,,,14
18,Zdzisława,,Patio,70030311086,2070-03-03,Lublin,Kowalska,Gęba,Janusz,Danuta,WOMAN,Polska,,,15
19,Otylia,,Październik,70030311086,2070-03-03,Lublin,Koniecpolska,Koniecpolska,Janusz,Janina,WOMAN,Polska,,,16
20,Katarzyna,Aleksandra,Piórko,70030311086,2070-03-03,Wilkowyje,Ukłon,Ukłon,Andrzej,Janina,WOMAN,Polska,,,17
21,Olek,,Wilk,70030311086,2000-03-03,Lublin,Wilk,Wilk,Grzegorz,Jagoda,MAN,Polska,,,null
22,Paulina,,Wilk,70030311084,2000-03-03,Lublin,Wilk,Wilk,Grzegorz,Jagoda,WOMAN,Polska,,,null
23,Mateusz,,Wilk,70030311086,2000-03-03,Lublin,Wilk,Wilk,Grzegorz,Jagoda,MAN,Polska,,,null
24,Mateusz,,Zieliński,70030311086,2000-03-03,Lublin,Zieliński,Zieliński,Andrzej,Joanna,MAN,Polska,,,null
25,Klaudia,,Zielińska,70030311084,2000-03-03,Lublin,Zielińska,Zielińska,Andrzej,Joanna,WOMAN,Polska,,,null
26,Arkadiusz,,Miłoszewski,70030311086,2000-03-03,Lublin,Miłoszewski,Miłoszewski,Igor,Magdalena,MAN,Polska,,,null
27,Konrad,,Miłoszewski,70030311086,2000-03-03,Lublin,Miłoszewski,Miłoszewski,Igor,Magdalena,MAN,Polska,,,null
28,Igor,,Koper,70030311084,2000-03-03,Lublin,Koper,Koper,Artur,Amelia,MAN,Polska,,,null
29,Dawid,,Koper,70030311086,2000-03-03,Jędrychowice,Koper,Koper,Artur,Amelia,MAN,Polska,,,null
30,Grzegorz,,Ziółko,70030311086,2000-03-03,Lublin,Ziółko,Ziółko,Marek,Ola,MAN,Polska,,,null
31,Martyna,,Ziółko,70030311084,2000-03-03,Lublin,Ziółko,Ziółko,Marek,Ola,WOMAN,Polska,,,null
32,Jaś,,Ukwiat,70030311086,2000-03-03,Jędrychowice,Ukwiat,Ukwiat,Janusz,Magdalena,MAN,Polska,,,null
33,Irmina,,Patio,70030311086,2000-03-03,Lublin,Patio,Patio,Aaron,Zdzisława,WOMAN,Polska,,,null
34,Katarzyna,,Październik,70030311084,2000-03-03,Lublin,Październik,Październik,Patryk,Otylia,WOMAN,Polska,,,null
35,Tomasz,,Piórko,70030311086,2000-03-03,Jędrychowice,Piórko,Piórko,Henryk,Katarzyna,MAN,Polska,,,null
36,Elżbieta,,Kawka,70030311086,2070-03-03,Lublin,Kawka,Kawka,Janusz,Janina,WOMAN,Polska,,,18
37,Kamila,,Matuszewska,70030311086,2070-03-03,Lublin,Kiwi,Kiwi,Andrzej,Janina,WOMAN,Polska,,,19
